Years Since,Clust1,Ticket Type,Num Seats
25,20+ Years,Renew Pure Hockey,1
25,20+ Years,Renew Pure Hockey,1
5,0-9 Years,Renew Pure Hockey,2
6,0-9 Years,Renew Pure Hockey,2
24,20+ Years,Updated Pure Hockey,2
3,0-9 Years,Renew Pure Hockey,1
23,20+ Years,Renew Pure Hockey,2
24,20+ Years,Renew Pure Hockey,1
3,0-9 Years,Renew Pure Hockey,2
22,20+ Years,Renew Pure Hockey,2
5,0-9 Years,Renew Pure Hockey,2
7,0-9 Years,Renew Pure Hockey,2
3,0-9 Years,Renew Pure Hockey,2
22,20+ Years,Renew Pure Hockey,1
22,20+ Years,Renew Pure Hockey,2
22,20+ Years,Renew Pure Hockey,2
5,0-9 Years,Renew Pure Hockey,2
22,20+ Years,Renew Pure Hockey,2
19,15-19,Renew Pure Hockey,2
22,20+ Years,Renew Pure Hockey,2
5,0-9 Years,Renew Pure Hockey,2
24,20+ Years,Renew Pure Hockey,2
3,0-9 Years,Renew Pure Hockey,2
5,0-9 Years,Updated Pure Hockey,3
5,0-9 Years,Renew Pure Hockey,2
27,20+ Years,Updated Pure Hockey,1
27,20+ Years,Updated Pure Hockey,1
27,20+ Years,Updated Pure Hockey,1
5,0-9 Years,Renew Pure Hockey,4
2,0-9 Years,Renew Pure Hockey,4
24,20+ Years,Renew Pure Hockey,2
24,20+ Years,Renew Pure Hockey,2
22,20+ Years,Renew PH Upgrade,2
27,20+ Years,Updated Pure Hockey,2
27,20+ Years,New Pure Hockey,1
27,20+ Years,Updated Pure Hockey,2
25,20+ Years,Renew Pure Hockey,4
24,20+ Years,Renew Pure Hockey,2
5,0-9 Years,Renew Pure Hockey,5
2,0-9 Years,Renew Pure Hockey,1
2,0-9 Years,Renew Pure Hockey,1
5,0-9 Years,Renew Pure Hockey,2
2,0-9 Years,Renew Pure Hockey,2
24,20+ Years,Renew Pure Hockey,2
27,20+ Years,Updated Pure Hockey,2
26,20+ Years,Renew Pure Hockey,2
26,20+ Years,Updated Pure Hockey,2
5,0-9 Years,Renew Pure Hockey,2
25,20+ Years,Renew Pure Hockey,2
19,15-19,Renew Pure Hockey,2
23,20+ Years,Renew Pure Hockey,2
4,0-9 Years,Renew Pure Hockey,2
2,0-9 Years,Renew Pure Hockey,2
2,0-9 Years,Renew Pure Hockey,2
5,0-9 Years,Renew Pure Hockey,1
18,15-19,Renew Pure Hockey,2
19,15-19,Renew Pure Hockey,1
19,15-19,Renew Pure Hockey,1
20,20+ Years,Renew Pure Hockey,4
20,20+ Years,Renew Pure Hockey,1
20,20+ Years,Renew Pure Hockey,1
25,20+ Years,Renew Pure Hockey,4
5,0-9 Years,Renew Pure Hockey,2
19,15-19,Renew Pure Hockey,2
3,0-9 Years,Renew Pure Hockey,2
6,0-9 Years,Renew Pure Hockey,2
6,0-9 Years,Renew Pure Hockey,1
3,0-9 Years,Renew Pure Hockey,1
3,0-9 Years,Renew Pure Hockey,1
19,15-19,Renew Pure Hockey,2
19,15-19,Renew Pure Hockey,4
19,15-19,New Pure Hockey,2
19,15-19,Renew Pure Hockey,1
2,0-9 Years,Renew Pure Hockey,2
18,15-19,Renew Pure Hockey,4
18,15-19,Renew Pure Hockey,2
4,0-9 Years,Renew Pure Hockey,2
17,15-19,Renew Pure Hockey,4
5,0-9 Years,Renew Pure Hockey,1
5,0-9 Years,Renew Pure Hockey,1
18,15-19,Renew Pure Hockey,2
16,15-19,Renew Pure Hockey,2
3,0-9 Years,Renew Pure Hockey,2
3,0-9 Years,Renew Pure Hockey,2
5,0-9 Years,Renew Pure Hockey,4
18,15-19,Renew Pure Hockey,2
5,0-9 Years,Renew PH Upgrade,2
3,0-9 Years,Renew Pure Hockey,2
18,15-19,Renew Pure Hockey,1
18,15-19,Renew Pure Hockey,3
18,15-19,Sponsor PH Full Season,4
5,0-9 Years,Sideline PH Renewal,4
4,0-9 Years,Renew Pure Hockey,2
18,15-19,Renew Pure Hockey,2
18,15-19,Renew Pure Hockey,2
18,15-19,Renew Pure Hockey,1
3,0-9 Years,Renew Pure Hockey,1
3,0-9 Years,Renew Pure Hockey,1
3,0-9 Years,New Pure Hockey,2
3,0-9 Years,Renew Pure Hockey,2
5,0-9 Years,Renew Pure Hockey,2
6,0-9 Years,Renew Pure Hockey,1
17,15-19,Renew Pure Hockey,2
17,15-19,Renew Pure Hockey,2
5,0-9 Years,Renew Pure Hockey,1
5,0-9 Years,Renew Pure Hockey,1
17,15-19,Renew Pure Hockey,2
5,0-9 Years,Renew Pure Hockey,3
5,0-9 Years,Updated Pure Hockey,2
5,0-9 Years,Renew Pure Hockey,4
4,0-9 Years,Renew Pure Hockey,1
5,0-9 Years,Renew Pure Hockey,2
2,0-9 Years,Renew Pure Hockey,4
17,15-19,Renew Pure Hockey,2
2,0-9 Years,Renew Pure Hockey,2
7,0-9 Years,Renew PH Upgrade,2
2,0-9 Years,Renew Pure Hockey,3
3,0-9 Years,Renew Pure Hockey,1
3,0-9 Years,Renew Pure Hockey,1
5,0-9 Years,Renew Pure Hockey,2
11,14-Oct,Renew Pure Hockey,1
11,14-Oct,Renew Pure Hockey,1
6,0-9 Years,Renew Pure Hockey,2
16,15-19,Renew Pure Hockey,3
2,0-9 Years,Renew Pure Hockey,2
5,0-9 Years,Renew Pure Hockey,2
5,0-9 Years,Updated Pure Hockey,2
15,15-19,Updated Pure Hockey,2
3,0-9 Years,Renew Pure Hockey,4
3,0-9 Years,Renew PH Upgrade,4
2,0-9 Years,Renew Pure Hockey,2
6,0-9 Years,Updated Pure Hockey,2
6,0-9 Years,Updated Pure Hockey,2
14,14-Oct,Updated Pure Hockey,2
5,0-9 Years,Renew Pure Hockey,2
1,0-9 Years,New Pure Hockey,3
6,0-9 Years,Renew Pure Hockey,2
7,0-9 Years,Renew Pure Hockey,2
3,0-9 Years,Renew Pure Hockey,6
7,0-9 Years,Updated Pure Hockey,2
2,0-9 Years,Renew Pure Hockey,4
2,0-9 Years,Renew Pure Hockey,4
4,0-9 Years,Renew Pure Hockey,2
16,15-19,Renew Pure Hockey,4
7,0-9 Years,Renew Pure Hockey,2
5,0-9 Years,Renew PH Upgrade,1
5,0-9 Years,Renew PH Upgrade,1
2,0-9 Years,Renew Pure Hockey,2
1,0-9 Years,Renew Pure Hockey,1
2,0-9 Years,Renew Pure Hockey,2
3,0-9 Years,Renew Pure Hockey,2
2,0-9 Years,Renew Pure Hockey,2
16,15-19,Renew Pure Hockey,2
15,15-19,Renew Pure Hockey,2
4,0-9 Years,Renew Pure Hockey,2
2,0-9 Years,Renew Pure Hockey,1
5,0-9 Years,Renew Pure Hockey,1
3,0-9 Years,Renew Pure Hockey,1
2,0-9 Years,Renew Pure Hockey,4
16,15-19,New Pure Hockey,3
1,0-9 Years,New Pure Hockey,1
1,0-9 Years,New Pure Hockey,1
3,0-9 Years,Renew Pure Hockey,4
5,0-9 Years,Renew Pure Hockey,2
16,15-19,Renew Pure Hockey,1
5,0-9 Years,Renew Pure Hockey,2
1,0-9 Years,New Pure Hockey,2
5,0-9 Years,Renew Pure Hockey,1
16,15-19,Renew Pure Hockey,2
16,15-19,New Pure Hockey,1
16,15-19,Renew Pure Hockey,1
13,14-Oct,Renew Pure Hockey,2
7,0-9 Years,Renew Pure Hockey,1
7,0-9 Years,Renew Pure Hockey,1
3,0-9 Years,Renew Pure Hockey,2
7,0-9 Years,Renew Pure Hockey,2
1,0-9 Years,New Pure Hockey,2
3,0-9 Years,Renew Pure Hockey,2
1,0-9 Years,New Pure Hockey,2
15,15-19,Renew Pure Hockey,2
3,0-9 Years,Renew Pure Hockey,2
3,0-9 Years,Renew Pure Hockey,2
1,0-9 Years,New Pure Hockey,2
14,14-Oct,Renew Pure Hockey,2
3,0-9 Years,Renew Pure Hockey,2
3,0-9 Years,Renew Pure Hockey,2
2,0-9 Years,Renew Pure Hockey,2
3,0-9 Years,Renew Pure Hockey,2
15,15-19,Renew Pure Hockey,2
15,15-19,Renew Pure Hockey,2
6,0-9 Years,Renew Pure Hockey,1
5,0-9 Years,Renew Pure Hockey,2
8,0-9 Years,Renew Pure Hockey,2
3,0-9 Years,Renew Pure Hockey,2
5,0-9 Years,Renew Pure Hockey,4
15,15-19,Renew Pure Hockey,2
5,0-9 Years,Updated Pure Hockey,2
6,0-9 Years,Renew Pure Hockey,2
14,14-Oct,Renew Pure Hockey,2
5,0-9 Years,Renew Pure Hockey,1
5,0-9 Years,Renew Pure Hockey,1
14,14-Oct,Renew PH Platinum,2
2,0-9 Years,Renew Pure Hockey,4
14,14-Oct,Renew Pure Hockey,2
7,0-9 Years,Updated Pure Hockey,2
4,0-9 Years,Renew Pure Hockey,2
1,0-9 Years,New Pure Hockey,1
5,0-9 Years,Renew PH Upgrade,1
14,14-Oct,Updated Pure Hockey,2
3,0-9 Years,Renew Pure Hockey,2
2,0-9 Years,Renew Pure Hockey,2
7,0-9 Years,Updated Pure Hockey,2
2,0-9 Years,Renew Pure Hockey,2
14,14-Oct,Renew Pure Hockey,2
14,14-Oct,Renew Pure Hockey,5
14,14-Oct,Renew Pure Hockey,2
14,14-Oct,Renew Pure Hockey,2
3,0-9 Years,Renew PH Upgrade,4
3,0-9 Years,Renew Pure Hockey,2
3,0-9 Years,Renew Pure Hockey,2
4,0-9 Years,Renew Pure Hockey,1
4,0-9 Years,Renew Pure Hockey,2
3,0-9 Years,Renew Pure Hockey,2
13,14-Oct,Renew Pure Hockey,2
4,0-9 Years,Renew Pure Hockey,1
13,14-Oct,Renew Pure Hockey,4
5,0-9 Years,Renew Pure Hockey,1
5,0-9 Years,Renew Pure Hockey,1
6,0-9 Years,Updated Pure Hockey,1
5,0-9 Years,Renew Pure Hockey,2
2,0-9 Years,Renew Pure Hockey,2
3,0-9 Years,Renew Pure Hockey,2
1,0-9 Years,Updated Pure Hockey,2
8,0-9 Years,Renew Pure Hockey,2
7,0-9 Years,Updated Pure Hockey,2
5,0-9 Years,Updated Pure Hockey,4
4,0-9 Years,Renew Pure Hockey,2
2,0-9 Years,Renew PH Upgrade,2
2,0-9 Years,Renew PH Upgrade,1
3,0-9 Years,Renew Pure Hockey,2
3,0-9 Years,Renew Pure Hockey,2
4,0-9 Years,Sideline PH Renewal,2
3,0-9 Years,Renew Pure Hockey,2
5,0-9 Years,Updated Pure Hockey,2
4,0-9 Years,Renew Pure Hockey,2
7,0-9 Years,Updated Pure Hockey,1
6,0-9 Years,Renew Pure Hockey,2
5,0-9 Years,Updated Pure Hockey,1
2,0-9 Years,Renew Pure Hockey,2
1,0-9 Years,Updated Pure Hockey,3
5,0-9 Years,Renew Pure Hockey,2
6,0-9 Years,Renew Pure Hockey,1
2,0-9 Years,New Pure Hockey,2
2,0-9 Years,Renew Pure Hockey,2
3,0-9 Years,Renew Pure Hockey,2
5,0-9 Years,Updated Pure Hockey,4
2,0-9 Years,Renew Pure Hockey,2
5,0-9 Years,Renew Pure Hockey,2
5,0-9 Years,Updated Pure Hockey,2
3,0-9 Years,Renew Pure Hockey,1
3,0-9 Years,Renew Pure Hockey,2
6,0-9 Years,Renew Pure Hockey,3
5,0-9 Years,Renew Pure Hockey,2
5,0-9 Years,Renew Pure Hockey,2
3,0-9 Years,Renew Pure Hockey,4
3,0-9 Years,Renew Pure Hockey,2
5,0-9 Years,Renew Pure Hockey,2
5,0-9 Years,Renew Pure Hockey,2
2,0-9 Years,Renew Pure Hockey,2
7,0-9 Years,Updated Pure Hockey,1
7,0-9 Years,Updated Pure Hockey,1
4,0-9 Years,Renew Pure Hockey,2
2,0-9 Years,Renew Pure Hockey,1
6,0-9 Years,Renew Pure Hockey,2
2,0-9 Years,Renew Pure Hockey,4
3,0-9 Years,Renew Pure Hockey,2
6,0-9 Years,Updated Pure Hockey,2
3,0-9 Years,Renew Pure Hockey,2
2,0-9 Years,Renew Pure Hockey,2
11,14-Oct,Renew Pure Hockey,2
3,0-9 Years,Renew Pure Hockey,2
3,0-9 Years,Renew Pure Hockey,2
4,0-9 Years,Renew Pure Hockey,2
3,0-9 Years,Renew Pure Hockey,2
3,0-9 Years,Renew Pure Hockey,2
5,0-9 Years,Sideline PH Renewal,3
5,0-9 Years,Sideline PH Renewal,1
2,0-9 Years,Renew Pure Hockey,1
2,0-9 Years,Renew Pure Hockey,1
1,0-9 Years,Updated Pure Hockey,2
8,0-9 Years,Updated Pure Hockey,2
5,0-9 Years,Renew Pure Hockey,2
9,0-9 Years,Renew Pure Hockey,2
1,0-9 Years,New Pure Hockey,2
5,0-9 Years,Renew Pure Hockey,2
5,0-9 Years,Renew Pure Hockey,2
4,0-9 Years,Renew Pure Hockey,1
2,0-9 Years,Renew Pure Hockey,1
2,0-9 Years,Renew Pure Hockey,1
7,0-9 Years,Renew PH Upgrade,2
2,0-9 Years,Updated PH Renew,2
3,0-9 Years,Renew Pure Hockey,3
3,0-9 Years,Renew Pure Hockey,2
5,0-9 Years,Renew Pure Hockey,2
10,14-Oct,Renew Pure Hockey,4
2,0-9 Years,New Pure Hockey,2
2,0-9 Years,Renew Pure Hockey,2
2,0-9 Years,Renew Pure Hockey,1
2,0-9 Years,Renew Pure Hockey,1
5,0-9 Years,Renew Pure Hockey,3
5,0-9 Years,Renew Pure Hockey,1
1,0-9 Years,New Pure Hockey,2
2,0-9 Years,Renew Pure Hockey,2
7,0-9 Years,Updated Pure Hockey,4
3,0-9 Years,Renew Pure Hockey,1
2,0-9 Years,New Pure Hockey,2
2,0-9 Years,Renew PH Upgrade,2
8,0-9 Years,Renew Pure Hockey,1
2,0-9 Years,Renew PH Upgrade,2
7,0-9 Years,Renew Pure Hockey,2
3,0-9 Years,Renew Pure Hockey,2
1,0-9 Years,New Pure Hockey,2
9,0-9 Years,Renew Pure Hockey,1
9,0-9 Years,Renew Pure Hockey,1
3,0-9 Years,Renew Pure Hockey,4
9,0-9 Years,Updated Pure Hockey,2
3,0-9 Years,Renew Pure Hockey,4
7,0-9 Years,Renew Pure Hockey,2
5,0-9 Years,Renew Pure Hockey,2
1,0-9 Years,New Pure Hockey,2
2,0-9 Years,Renew Pure Hockey,2
5,0-9 Years,Renew Pure Hockey,2
1,0-9 Years,New Pure Hockey,2
2,0-9 Years,Renew Pure Hockey,2
2,0-9 Years,Renew Pure Hockey,1
2,0-9 Years,Renew Pure Hockey,1
3,0-9 Years,Renew Pure Hockey,2
5,0-9 Years,Renew Pure Hockey,2
1,0-9 Years,New Pure Hockey,3
6,0-9 Years,Renew Pure Hockey,2
6,0-9 Years,Renew Pure Hockey,1
2,0-9 Years,Renew Pure Hockey,2
5,0-9 Years,Renew Pure Hockey,2
2,0-9 Years,Renew Pure Hockey,1
2,0-9 Years,Renew Pure Hockey,3
2,0-9 Years,Renew Pure Hockey,1
5,0-9 Years,Renew PH Upgrade,1
5,0-9 Years,Renew PH Upgrade,1
8,0-9 Years,Renew Pure Hockey,2
2,0-9 Years,Renew PH Upgrade,2
5,0-9 Years,Renew Pure Hockey,2
3,0-9 Years,Renew Pure Hockey,2
3,0-9 Years,Renew Pure Hockey,2
8,0-9 Years,Renew Pure Hockey,1
8,0-9 Years,Renew Pure Hockey,1
4,0-9 Years,Renew Pure Hockey,4
8,0-9 Years,Renew Pure Hockey,2
5,0-9 Years,Renew Pure Hockey,4
6,0-9 Years,Renew Pure Hockey,4
1,0-9 Years,Updated Pure Hockey,2
8,0-9 Years,Renew Pure Hockey,2
5,0-9 Years,Renew Pure Hockey,4
6,0-9 Years,Renew Pure Hockey,4
1,0-9 Years,Updated Pure Hockey,2
6,0-9 Years,Renew Pure Hockey,2
5,0-9 Years,Updated Pure Hockey,2
3,0-9 Years,Renew Pure Hockey,2
4,0-9 Years,Renew Pure Hockey,2
2,0-9 Years,Renew Pure Hockey,1
6,0-9 Years,Renew Pure Hockey,2
5,0-9 Years,Renew Pure Hockey,2
3,0-9 Years,Renew Pure Hockey,1
3,0-9 Years,Renew Pure Hockey,2
5,0-9 Years,Renew Pure Hockey,4
3,0-9 Years,Renew Pure Hockey,1
2,0-9 Years,Renew Pure Hockey,3
3,0-9 Years,Renew Pure Hockey,2
3,0-9 Years,Renew Pure Hockey,2
3,0-9 Years,Renew Pure Hockey,2
7,0-9 Years,Updated Pure Hockey,1
7,0-9 Years,Updated Pure Hockey,1
3,0-9 Years,Renew Pure Hockey,2
2,0-9 Years,Renew Pure Hockey,2
2,0-9 Years,Renew Pure Hockey,1
2,0-9 Years,Renew Pure Hockey,2
2,0-9 Years,Renew Pure Hockey,4
5,0-9 Years,Renew Pure Hockey,2
7,0-9 Years,Updated Pure Hockey,2
7,0-9 Years,Updated Pure Hockey,2
2,0-9 Years,Renew Pure Hockey,2
2,0-9 Years,Renew Pure Hockey,2
2,0-9 Years,Renew Pure Hockey,2
3,0-9 Years,Renew Pure Hockey,2
2,0-9 Years,Renew Pure Hockey,3
7,0-9 Years,Renew Pure Hockey,2
7,0-9 Years,Updated Pure Hockey,2
3,0-9 Years,Renew Pure Hockey,2
6,0-9 Years,Renew Pure Hockey,4
7,0-9 Years,Sideline PH Renewal,4
7,0-9 Years,Updated Pure Hockey,2
7,0-9 Years,Renew Pure Hockey,2
7,0-9 Years,Renew PH Upgrade,2
7,0-9 Years,Renew Pure Hockey,2
7,0-9 Years,Renew Pure Hockey,2
7,0-9 Years,Renew Pure Hockey,4
2,0-9 Years,Renew Pure Hockey,2
7,0-9 Years,Updated Pure Hockey,3
7,0-9 Years,Updated Pure Hockey,3
2,0-9 Years,Renew Pure Hockey,2
7,0-9 Years,Renew Pure Hockey,1
4,0-9 Years,Renew Pure Hockey,2
3,0-9 Years,Renew Pure Hockey,2
2,0-9 Years,Renew Pure Hockey,4
5,0-9 Years,Renew Pure Hockey,3
6,0-9 Years,Renew Pure Hockey,2
3,0-9 Years,Renew Pure Hockey,2
3,0-9 Years,Renew Pure Hockey,2
6,0-9 Years,Renew Pure Hockey,2
5,0-9 Years,Renew Pure Hockey,2
5,0-9 Years,Renew Pure Hockey,2
2,0-9 Years,Renew PH Upgrade,1
2,0-9 Years,Renew PH Upgrade,1
4,0-9 Years,Renew Pure Hockey,2
5,0-9 Years,Renew Pure Hockey,2
5,0-9 Years,Renew Pure Hockey,1
4,0-9 Years,Renew Pure Hockey,2
3,0-9 Years,Renew Pure Hockey,2
2,0-9 Years,New Pure Hockey,2
